,acceptability,sentence
365,1,I resigned because Mary hired someone.
2979,1,I saw Jane run down the street.
719,1,We painted the chairs all red.
8046,1,Who ate the cake?
83,0,The elevator rumbled itself to the ground.
1718,0,It and that he loved another was painfully evident that she loved him.
538,0,Fruit fell against the house against the ground.
3258,0,Jennifer baked at the potatoes.
7368,1,Mary will complete her exam within an hour.
859,0,"I remember John being discussed, but you recall Sally being."
6520,1,The man who I think chased Fido returned.
7806,1,His hen loves Anson.
6900,1,The window was broken by a hammer.
7397,1,They are intense.
443,1,Mickey slips up all the time.
8286,1,How fond of Esther is Agamemnon?
3014,1,The director praised the volunteers.
4929,0,Karen asked where for Washington to put the chairs.
4597,1,Nobody told them anything.
1643,1,I brought a razor with which to shave myself.
4251,1,Harry says that Sally dislikes him.
4446,1,is out since the following is finite.
4078,1,Tom seems eager for her brother to catch a cold.
6911,1,Jim was enthusiastically chopping logs.
4621,0,A book was handed by Pat.
7592,1,Mary considers John proud of her.
5499,1,So elegant a solution as you have presented us with can elicit only admiration.
8081,1,"His analysis, I never liked."
7521,1,Each of the boys fought with the other boys.
6304,1,Calvin has dated every girl who Jeff has.
1302,1,"Sally might be pregnant, and everyone believes Sheila definitely is pregnant."
4558,0,It has raining every day for the last week.
676,1,John learned French perfectly.
8208,1,The dragons simply all died out.
5094,1,In the early morning is when I do my best research.
6125,1,Stacy danced at the palace.
5468,1,She writes clearly enough.
6386,1,John talked to almost any woman who came up to him.
2794,1,Paula hit the stick on the fence.
7935,1,Humans love to eat the old pigs.
4436,1,John has not sung a song.
7022,1,We walked slowly and with great care.
7659,1,John hopes to sleep.
4055,1,John believed that he is honest.
1956,1,My brother meets few Americans in Vienna.
553,1,Hard work resulted in high grades.
8193,1,Moya's football team loved her
3276,0,There soared oil in price.
7621,1,"There is a man ready to jump from the roof, isn't there?"
1135,0,I loaned my binoculars a man who was watching the race.
4190,1,He is afraid of foxes.
4154,1,Two drops sanitize anything in your house.
1027,1,Everyone reported that Max and some lady disappeared.
2543,1,I put the books on the table.
4908,1,This is the book that we had read.
2884,1,Herman whipped the cream.
1448,1,For Anna to tickle him drives Frank crazy.
1539,0,John is prouder of having gone than nobody expected me to believe he would be.
1466,1,Which packages is it possible that Sam didn't pick up which are to be mailed tomorrow?
5735,1,He turned off the light.
7875,1,Close the door!
8076,0,There was him in the garden.
7526,0,the girls likes herself.
1,1,One more pseudo generalization and I'm giving up.
1698,0,Maxwell isn't half the doctor that I know an African chief who is.
3827,1,John hit the ball with a bat.
7539,1,Mary appreciates only John and herself.
7309,1,They wonder about this.
6483,0,John slipped in front of anyone who was there.
3903,1,John deposited some money in the checking account on Friday and Mary did the same thing.
4516,1,Was I that stupid?
3242,1,Tony broke her arm.
4438,1,John hasn't been singing a song.
2269,1,The architect selected a house for the couple.
4365,0,We expect the dentist to examine ourselves.
8479,0,She tried to do go.
6133,1,The bed was slept in by the Shah.
7125,1,That our perspectives had changed over the years and the issues we had worked on as students were the topics of discussion.
1395,1,Did you notice which difficulties she made.
5554,1,They may grow as high as six feet.
1916,0,And Toni danced Bartlett.
2449,0,There appeared the ship on the horizon.
3423,0,The assignment completed.
4815,0,I am not certain about if he will go or not.
7693,1,I praised Mary.
4773,1,Where did John put the books?
8369,1,Some happy pigs which can fly love truffles
3541,0,They can door.
7696,1,The moon glows.
5306,0,I considered Fred after the party crazy.
5128,0,To whom I gave the cake is John.
1751,0,"Handsome though that Dick will be is likely, I'm still going to marry Herman."
3323,0,Groceries are bulging in the bag.
6601,1,I like but Tom doesn't like to visit new places.
8143,1,What kind of actor is he?
654,1,John included her name in the list.
2253,0,Monica moved at the cat.
1194,1,Evidence that he was drunk will be presented.
7753,1,That picture of Jenny in a rubber dress doesn't flatter her.
4009,0,We caught them eaten the bananas.
774,1,Our love them.
4862,0,This needs mending the shoe.
6859,1,He told her the whole story.
6939,0,What she did was own all the land round here.
499,1,I believe John with all my heart to be a fine person.
3257,1,This oven bakes potatoes well.
8382,1,We all thought he was unhappy
4907,1,Mary told Bill that John was elected.
3952,1,The school board leader asked a question of the students.
4469,0,He does can leave here.
7377,1,all the students left.
1555,1,"Tom ordered bacon, and Dick ordered lettuce, and I think that Harry ordered tomatoes."
3054,0,Susan whispered Rachel the news.
8023,1,Kane ate dirt.
1629,0,How brave he is tall and!
5283,0,How hard to read the book it was!
7039,0,Which books did Robin talk to Chris and read?
1339,0,I think Anita may have poisoned the meatballs which Sasha is gobbling down dumplings faster than I can reheat.
5198,1,"If you take a dry match and strike it, it lights."
5045,1,I believe it to be obvious that the problem is not easy.
41,0,They caused him to become president by making him.
3615,1,It was the policeman that met several young students in the park last night.
4453,0,They expected us to do leave him.
5526,1,Jack ate more of this than he ate of that.
7942,1,People like lard.
1890,1,John's quilt has a hole in its upper right-hand corner.
6976,1,I saw and he chops.
1801,1,The socks are ready for you to announce that you will put them on.
1951,1,John and Mary met in Vienna.
7978,1,The analysis of Lucy took longer than that of Gomez.
5270,1,John is certain that the Mets will win.
136,0,"I can well imagine the more him eating, the fatter him getting."
1561,1,Mike will sing if you will sing.
7897,0,Moya played football with her
8242,1,Benjamin gave the cloak to Lee.
4019,0,The chickens seem fond with the farmer.
124,1,"When it rains harder, how much faster a flow appears in the river?"
7918,1,People are in the garden
3521,1,Wash me!
7026,1,Kim alienates cats and beat his dog.
4072,1,Which otter you should adopt first is unclear.
53,1,Bill disappeared down the road.
4288,1,The color red seems to be his favorite color.
3050,1,Susan whispered.
7318,0,I prefer.
2380,1,Mark terrified me with his single mindedness.
2344,1,Ida hunted for deer in the woods.
7414,1,John will see you.
7749,1,Who is it obvious that Plato loves.
1359,1,The boy whose guardian's employee we elected president betrayed us.
8459,0,Anson believed Jenny to have hurt himself.
7262,1,I hope that Mary wins.
6250,1,I want Jean.
8301,1,Didn't the magic work?
3647,1,The monkey wants to leave the meeting.
4704,1,Shirley seems to have Fred promoted.
2080,1,Mary taught John linguistics.
2918,1,Smith was annealing.
167,1,"His expectations are lower, the higher the stakes are."
7857,0,Which poem did you hear those recitals of last night?
4725,1,The plums were weighed by the grocer.
691,0,John learned French immediately perfectly.
5608,0,I expect more than to double my profits.
4103,0,You should attempt answering every question.
756,0,We proved to the authorities Smith to be the thief.
2908,1,That new handle detaches easily.
5451,0,Not more reliable a man could be found.
4506,1,"Mary sang a song, but Lee never did."
3068,1,Ellen talked with Helen about the problem.
6540,0,What do you believe that iron is to be a fact well known to virtually everybody?
5702,1,The big boy was kissed by the drooling dog.
5881,1,Syntax frightens Kenny.
5022,1,John is eager to find a new home.
4854,0,I wonder what city that Romans destroyed.
3985,0,Is putting the book in the box.
4578,1,Tokyo has not loosened trade restrictions.
7575,1,He is John.
3548,0,They read the every book.
2624,1,The king banished the general from the army.
6777,0,"Because never had Sir Thomas been so offended, Mr Yates left."
1059,1,There were five tourists in the room apart from myself.
915,1,"While Bob read Fred, he didn't Dickens."
1661,0,"Fluffy is sick, which I fell asleep and Tom suddenly realized."
5818,1,The bright green filing cabinet was filled to the brim with the most boring articles from a prestigious journal of linguistics with a moderately large readership.
7117,1,We talked about Mr. Colson and that he had worked at the.
7681,1,John believes the rice to have been cooked by Bill.
5654,1,Hamsters mother attractive offspring.
7305,1,Mary drank some beer in the barn from 6 to nine.
3077,0,Ellen conferred for Helen to come.
4735,0,The letter got written by a poet.
4259,1,Mary persuaded John to fix the computer.
2453,0,There ran a little boy in the yard.
420,1,Who do you think that Bill believes to be innocent?
7784,1,I have every hope that you will defeat him.
668,1,I expect John to win and Harry to lose.
7948,1,A programme about Euripides is on a Radio 4 tonight.
4045,1,For John to tell Bill such a lie and Bill to believe it is outrageous.
4925,1,The person with whom he felt most comfortable left.
649,1,The stone knocked the cup apart.
2547,1,Cheryl stood the books next to the magazines.
6959,0,The volcano erupts on Tuesday.
2257,1,They skated the canals.
2137,1,The farmer dumped apples into the cart.
6637,0,Into Jeeves sauntered the room.
7126,1,The clever snake disappeared into a hole in the ground.
7059,0,What did you say I went and get?
3596,1,The umpire called it of.
2024,0,Where did you give the ball?
3916,1,John met a student in the park.
1686,0,John's I stole bike.
6210,1,John was bitten by an advertising executive.
6243,1,The cat is out of the bag.
2045,0,Fred gave the ball over Molly.
5520,0,I've never seen the one taller man than my father.
7466,0,Has not Henri studied for his exam?
7511,1,John can't even open an umbrella!
6944,1,The beaver built a dam.
4789,1,he had been reading the article.
3767,1,The CDs were given to the boys by John.
3540,0,They can down.
4758,1,You can rely on Edward's help.
7574,1,That's the truth.
1090,1,Do you know the boy whom Mary saw?
2331,1,The jeweller inscribed the ring with the name.
7214,1,John told us that he wants to quit school.
2959,1,Sandy sang me a song.
7979,0,Julie became a fond.
4540,1,"Because John persuaded Sally to, he didn't have to talk to the reporters."
5862,1,Robert thinks that student should eat asparagus.
5016,1,The child is impossible to teach.
6934,1,They're believing everything you say.
7665,0,John believes Bill that Mary has slept.
